text,category,severity
This has become a moderate concern causing ongoing inconvenience. The ambulance service in our area does not respond to calls.,Health,MEDIUM
"This is just a small suggestion for improvement, not urgent. Students do not have enough textbooks for the new academic year.",Education,LOW
"There are no proper desks and children sit on the floor in class. This could turn fatal any moment, immediate action is critical.",Education,CRITICAL
"There is no doctor available at the primary health clinic after 2 PM. This requires urgent emergency action right now, lives are at risk.",Health,CRITICAL
"This is urgent and quite severe, please act as soon as possible. Bus drivers skip our stop regularly during peak hours.",Public Transport,HIGH
"This can wait, it's a very small and low-impact issue. There are no proper desks and children sit on the floor in class.",Education,LOW
"This is urgent and quite severe, please act as soon as possible. Our college corridor lights don't work making evening classes difficult.",Education,HIGH
This is a severe issue causing real danger to people nearby. Electric wires are hanging dangerously low near the school gate.,Infrastructure,HIGH
This is a minor issue but a small fix would be appreciated. The old building next to us shows signs of imminent structural collapse.,Safety,LOW
"Not a big deal, just a minor thing that could be improved. Unknown men have been loitering around the school gate lately.",Safety,LOW
The classroom ceiling fan has been broken for the entire semester. This is putting people at real risk if ignored much longer.,Education,HIGH
There is a strong foul smell coming from the open drain near the market. An explosion or collapse could happen at any moment here.,Environment,CRITICAL
"This can wait, it's a very small and low-impact issue. Frequent breakdowns on this route have disrupted daily commute.",Public Transport,LOW
This is a low priority request whenever the concerned team is free. The park's trees are dying because of an unknown chemical spill nearby.,Environment,LOW
There was a violent altercation near the bus stop yesterday evening. This issue needs attention soon as it is affecting daily life.,Safety,MEDIUM
This is a do-or-die situation that needs action within the hour. The train station lacks a functioning ticket counter most days.,Public Transport,CRITICAL
This is putting people at real risk if ignored much longer. Construction debris has been blocking the lane entrance for a week.,Infrastructure,HIGH
The community health center's vaccine stock has run out. People are in immediate danger and this cannot wait even a day.,Health,CRITICAL
"Auto and taxi drivers are refusing to use the meter and overcharging. This could turn fatal any moment, immediate action is critical.",Public Transport,CRITICAL
"This is a small inconvenience, nothing serious at all. There has been a rise in dengue cases due to stagnant water nearby.",Health,LOW
"Our area has no functioning health center within several kilometers. There's no rush on this, just flagging it for whenever possible.",Health,LOW
There is a minor disagreement about parking space allocation. It would help a lot if this could be sorted out in the coming days.,Other,MEDIUM
The school library has been locked and unused since last year. This has been ongoing for days and is becoming genuinely serious.,Education,HIGH
Sanitation at the government hospital ward is extremely poor. Someone could die if this is not fixed within hours.,Health,CRITICAL
This is a genuine problem that residents are worried about. Our area has no functioning health center within several kilometers.,Health,MEDIUM
This is a critical problem that has been getting worse and worse. Residents would like a suggestion box installed at the local office.,Other,HIGH
The health camp promised for our village never took place. This is a noticeable problem affecting quite a few households.,Health,MEDIUM
This is a noticeable problem affecting quite a few households. The bridge connecting the two villages has visible cracks and feels unstable.,Infrastructure,MEDIUM
This is a do-or-die situation that needs action within the hour. There has been a rise in dengue cases due to stagnant water nearby.,Health,CRITICAL
"This is just a small suggestion for improvement, not urgent. Our building's staircase railing is broken and about to fall off.",Infrastructure,LOW
Women in our area do not feel safe walking after dark due to poor lighting. This is putting people at real risk if ignored much longer.,Safety,HIGH
"The bridge connecting the two villages has visible cracks and feels unstable. This could turn fatal any moment, immediate action is critical.",Infrastructure,CRITICAL
"Our school building lacks a functioning fan or cooler in summer. Not a big deal, just a minor thing that could be improved.",Education,LOW
Taxi stand outside the station has no queue management causing chaos. This isn't an emergency but it really should be looked into this week.,Public Transport,MEDIUM
This is a severe issue causing real danger to people nearby. The tuition center is charging extra fees not mentioned earlier.,Education,HIGH
The overhead water tank in our area has started leaking. This is extremely dangerous and could lead to a fatal accident.,Infrastructure,CRITICAL
This has become a moderate concern causing ongoing inconvenience. The newly laid road already has cracks and uneven patches.,Infrastructure,MEDIUM
The maternity ward lacks basic hygiene and clean bedsheets. This issue needs attention soon as it is affecting daily life.,Health,MEDIUM
Bus drivers skip our stop regularly during peak hours. This is a noticeable problem affecting quite a few households.,Public Transport,MEDIUM
"There has been an increase in chain snatching incidents on this road. This requires urgent emergency action right now, lives are at risk.",Safety,CRITICAL
"This is just a small suggestion for improvement, not urgent. Teachers are frequently absent and classes remain unsupervised.",Education,LOW
This isn't an emergency but it really should be looked into this week. Buses on this route have been irregular for the past two weeks.,Public Transport,MEDIUM
"There is a large pothole in the middle of the main road near our colony. Not a big deal, just a minor thing that could be improved.",Infrastructure,LOW
This has become a serious and hazardous situation for residents. Teachers are frequently absent and classes remain unsupervised.,Education,HIGH
Our building's staircase railing is broken and about to fall off. This has escalated quickly and is now a major safety concern.,Infrastructure,HIGH
We would appreciate clearer signage for the new community office. Several people have already been affected and it keeps getting worse.,Other,HIGH
"This is just a small suggestion for improvement, not urgent. There is a dispute between neighbors over a shared boundary wall.",Other,LOW
This has become a moderate concern causing ongoing inconvenience. Medical waste is not being disposed of properly outside the clinic.,Health,MEDIUM
Buses on this route have been irregular for the past two weeks. This is a severe issue causing real danger to people nearby.,Public Transport,HIGH
We would appreciate clearer signage for the new community office. This has been annoying residents for a couple of weeks now.,Other,MEDIUM
Our area does not have any bus stop within walking distance. This has been ongoing for days and is becoming genuinely serious.,Public Transport,HIGH
This issue needs attention soon as it is affecting daily life. There is a dispute between neighbors over a shared boundary wall.,Other,MEDIUM
"Streetlights on our lane have not worked for the past three weeks. Whenever someone has time, this would be a nice small fix.",Infrastructure,LOW
This is a do-or-die situation that needs action within the hour. Trees on the main avenue were cut down without any prior notice.,Environment,CRITICAL
Residents would like a suggestion box installed at the local office. This is a do-or-die situation that needs action within the hour.,Other,CRITICAL
There has been an increase in chain snatching incidents on this road. This has been a recurring inconvenience for the whole area.,Safety,MEDIUM
This has become a moderate concern causing ongoing inconvenience. Household waste is being dumped in the empty plot next to our homes.,Environment,MEDIUM
The classroom ceiling fan has been broken for the entire semester. This is a fair concern that's been bothering the whole neighborhood.,Education,MEDIUM
This issue needs attention soon as it is affecting daily life. The riverside area is filled with plastic bags and bottles.,Environment,MEDIUM
"Not a big deal, just a minor thing that could be improved. Trees on the main avenue were cut down without any prior notice.",Environment,LOW
The scholarship funds promised to students have not been disbursed. This has been ongoing for days and is becoming genuinely serious.,Education,HIGH
"Dust from the cement factory is settling on our rooftops and plants. This is just a small suggestion for improvement, not urgent.",Environment,LOW
We suggest adding more benches near the walking track. This is a life-threatening emergency and needs an immediate response.,Other,CRITICAL
This is a critical problem that has been getting worse and worse. A fire broke out in the market area and no fire truck arrived on time.,Safety,HIGH
"Our building's staircase railing is broken and about to fall off. This is an absolute emergency, please send help immediately.",Infrastructure,CRITICAL
"A gas leak was reported near the residential block causing panic. This could turn fatal any moment, immediate action is critical.",Safety,CRITICAL
This has escalated quickly and is now a major safety concern. The local train has been delayed by over an hour every day this month.,Public Transport,HIGH
The railway station platform lacks proper lighting at night. This issue needs attention soon as it is affecting daily life.,Public Transport,MEDIUM
"This needs to be resolved within the next day or two, it's serious. Our request for a new public notice board has not been addressed.",Other,HIGH
The ambulance service in our area does not respond to calls. This has been ongoing for days and is becoming genuinely serious.,Health,HIGH
The community health center's vaccine stock has run out. This is a severe issue causing real danger to people nearby.,Health,HIGH
The old building next to us shows signs of imminent structural collapse. This is a do-or-die situation that needs action within the hour.,Safety,CRITICAL
This has been ongoing for days and is becoming genuinely serious. The maternity ward lacks basic hygiene and clean bedsheets.,Health,HIGH
This is barely noticeable but thought it was worth mentioning. Sewage water is flowing into the small pond used by local birds.,Environment,LOW
This is a fair concern that's been bothering the whole neighborhood. The local government hospital has been out of basic medicines for weeks.,Health,MEDIUM
A gas leak was reported near the residential block causing panic. This is a low priority request whenever the concerned team is free.,Safety,LOW
There has been a partial collapse and people could be seriously hurt. The government office building's roof is leaking badly during rains.,Infrastructure,CRITICAL
This has been ongoing for days and is becoming genuinely serious. Power has been out in our entire block since last night.,Infrastructure,HIGH
This is a fair concern that's been bothering the whole neighborhood. Dust from the cement factory is settling on our rooftops and plants.,Environment,MEDIUM
The government office building's roof is leaking badly during rains. This is not extremely urgent but is clearly a real problem now.,Infrastructure,MEDIUM
This has been ongoing for days and is becoming genuinely serious. There is a minor disagreement about parking space allocation.,Other,HIGH
A fire broke out in the market area and no fire truck arrived on time. It would help a lot if this could be sorted out in the coming days.,Safety,MEDIUM
The community health center's vaccine stock has run out. This has been a recurring inconvenience for the whole area.,Health,MEDIUM
Students do not have enough textbooks for the new academic year. This is a genuine problem that residents are worried about.,Education,MEDIUM
This has become a serious and hazardous situation for residents. Local shopkeepers report frequent extortion threats from unknown people.,Safety,HIGH
"Sewage water is flowing into the small pond used by local birds. This could turn fatal any moment, immediate action is critical.",Environment,CRITICAL
"This is an absolute emergency, please send help immediately. The under-construction building next door has unsafe scaffolding hanging over the footpath.",Infrastructure,CRITICAL
An explosion or collapse could happen at any moment here. Our request for a new public notice board has not been addressed.,Other,CRITICAL
"Whenever someone has time, this would be a nice small fix. There was an attempted robbery at the local shop last night.",Safety,LOW
"This could turn fatal any moment, immediate action is critical. We would like better public seating in the community park.",Other,CRITICAL
Patients are made to wait for hours without any medical attention. This has been annoying residents for a couple of weeks now.,Health,MEDIUM
This has been ongoing for days and is becoming genuinely serious. There is a huge hole in the footpath that pedestrians keep tripping over.,Infrastructure,HIGH
This is not extremely urgent but is clearly a real problem now. The security guard post outside our colony has been vacant for months.,Safety,MEDIUM
A fire broke out in the market area and no fire truck arrived on time. This is a do-or-die situation that needs action within the hour.,Safety,CRITICAL
This is a minor issue but a small fix would be appreciated. The ambulance service in our area does not respond to calls.,Health,LOW
The government office building's roof is leaking badly during rains. This is a severe issue causing real danger to people nearby.,Infrastructure,HIGH
"Household waste is being dumped in the empty plot next to our homes. This is urgent and quite severe, please act as soon as possible.",Environment,HIGH
A water pipeline burst yesterday and flooded the entire street. This is a do-or-die situation that needs action within the hour.,Infrastructure,CRITICAL
The riverside area is filled with plastic bags and bottles. This is a do-or-die situation that needs action within the hour.,Environment,CRITICAL
"Not a big deal, just a minor thing that could be improved. Air quality in our area has become very poor due to nearby construction dust.",Environment,LOW
This is a cosmetic issue that can be fixed whenever convenient. Residents would like a suggestion box installed at the local office.,Other,LOW
"This requires urgent emergency action right now, lives are at risk. The drainage system is completely blocked and water is overflowing onto the road.",Infrastructure,CRITICAL
There has been a partial collapse and people could be seriously hurt. Local shopkeepers report frequent extortion threats from unknown people.,Safety,CRITICAL
"The maternity ward lacks basic hygiene and clean bedsheets. This can wait, it's a very small and low-impact issue.",Health,LOW
Electric wires are hanging dangerously low near the school gate. An explosion or collapse could happen at any moment here.,Infrastructure,CRITICAL
People are in immediate danger and this cannot wait even a day. Construction debris has been blocking the lane entrance for a week.,Infrastructure,CRITICAL
Loud noise from the nearby factory continues late into the night. This is a fair concern that's been bothering the whole neighborhood.,Environment,MEDIUM
The hospital staff refused treatment without an advance payment. This is a severe issue causing real danger to people nearby.,Health,HIGH
This has been ongoing for days and is becoming genuinely serious. An accident-prone junction near our society still has no traffic signal.,Safety,HIGH
"The local government hospital has been out of basic medicines for weeks. This is urgent and quite severe, please act as soon as possible.",Health,HIGH
"Streetlights on our lane have not worked for the past three weeks. This is an absolute emergency, please send help immediately.",Infrastructure,CRITICAL
The school computer lab equipment is outdated and mostly non-functional. This is a cosmetic issue that can be fixed whenever convenient.,Education,LOW
This is a genuine problem that residents are worried about. Trees on the main avenue were cut down without any prior notice.,Environment,MEDIUM
"There was an attempted robbery at the local shop last night. This needs to be resolved within the next day or two, it's serious.",Safety,HIGH
The bridge connecting the two villages has visible cracks and feels unstable. This has become a serious and hazardous situation for residents.,Infrastructure,HIGH
"Our school building lacks a functioning fan or cooler in summer. This is an absolute emergency, please send help immediately.",Education,CRITICAL
"Stray incidents of eve-teasing near the college gate go unreported. This is just a small suggestion for improvement, not urgent.",Safety,LOW
"The railway station platform lacks proper lighting at night. Whenever someone has time, this would be a nice small fix.",Public Transport,LOW
"Patients are made to wait for hours without any medical attention. This is a small inconvenience, nothing serious at all.",Health,LOW
This is a genuine problem that residents are worried about. The tuition center is charging extra fees not mentioned earlier.,Education,MEDIUM
Taxi stand outside the station has no queue management causing chaos. Several people have already been affected and it keeps getting worse.,Public Transport,HIGH
There is no clean drinking water available in the health center. This is putting people at real risk if ignored much longer.,Health,HIGH
Residents would like a suggestion box installed at the local office. This is a genuine problem that residents are worried about.,Other,MEDIUM
"Our government school has not had a mathematics teacher for two months. There's no rush on this, just flagging it for whenever possible.",Education,LOW
This has been annoying residents for a couple of weeks now. The park's trees are dying because of an unknown chemical spill nearby.,Environment,MEDIUM
This is a genuine problem that residents are worried about. Electric wires are hanging dangerously low near the school gate.,Infrastructure,MEDIUM
This is not extremely urgent but is clearly a real problem now. Unknown men have been loitering around the school gate lately.,Safety,MEDIUM
Smoke from open garbage burning is affecting people's breathing nearby. People are in immediate danger and this cannot wait even a day.,Environment,CRITICAL
The train station lacks a functioning ticket counter most days. This isn't an emergency but it really should be looked into this week.,Public Transport,MEDIUM
"This requires urgent emergency action right now, lives are at risk. Untreated waste from the market is polluting the groundwater.",Environment,CRITICAL
I want to raise a general suggestion about our community center timings. This is a life-threatening emergency and needs an immediate response.,Other,CRITICAL
This isn't an emergency but it really should be looked into this week. Our school building lacks a functioning fan or cooler in summer.,Education,MEDIUM
Loud noise from the nearby factory continues late into the night. This is a do-or-die situation that needs action within the hour.,Environment,CRITICAL
Taxi stand outside the station has no queue management causing chaos. This is a do-or-die situation that needs action within the hour.,Public Transport,CRITICAL
This is a life-threatening emergency and needs an immediate response. Unknown men have been loitering around the school gate lately.,Safety,CRITICAL
"This requires urgent emergency action right now, lives are at risk. There is a huge hole in the footpath that pedestrians keep tripping over.",Infrastructure,CRITICAL
"This could turn fatal any moment, immediate action is critical. The metro station escalator has been out of order for a long time.",Public Transport,CRITICAL
The health camp promised for our village never took place. This is putting people at real risk if ignored much longer.,Health,HIGH
This has been ongoing for days and is becoming genuinely serious. The security guard post outside our colony has been vacant for months.,Safety,HIGH
This is a genuine problem that residents are worried about. There is a large pothole in the middle of the main road near our colony.,Infrastructure,MEDIUM
"There's no rush on this, just flagging it for whenever possible. We suggest adding more benches near the walking track.",Other,LOW
"This is just a small suggestion for improvement, not urgent. Medical waste is not being disposed of properly outside the clinic.",Health,LOW
"There's no rush on this, just flagging it for whenever possible. There is a minor disagreement about parking space allocation.",Other,LOW
This is a critical problem that has been getting worse and worse. A nearby factory is dumping waste directly into the river.,Environment,HIGH
The primary school has no boundary wall making it unsafe for children. This is a minor issue but a small fix would be appreciated.,Education,LOW
Smoke from open garbage burning is affecting people's breathing nearby. This is a genuine problem that residents are worried about.,Environment,MEDIUM
Bus drivers skip our stop regularly during peak hours. This is a do-or-die situation that needs action within the hour.,Public Transport,CRITICAL
"This is an absolute emergency, please send help immediately. The newly laid road already has cracks and uneven patches.",Infrastructure,CRITICAL
This is a fair concern that's been bothering the whole neighborhood. The metro station escalator has been out of order for a long time.,Public Transport,MEDIUM
"The classroom ceiling fan has been broken for the entire semester. This can wait, it's a very small and low-impact issue.",Education,LOW
Garbage has not been collected from our street for over a week. This has escalated quickly and is now a major safety concern.,Environment,HIGH
The hospital staff refused treatment without an advance payment. This is a life-threatening emergency and needs an immediate response.,Health,CRITICAL
The new metro line construction has blocked the main commute route. This has been ongoing for days and is becoming genuinely serious.,Public Transport,HIGH
This has become a moderate concern causing ongoing inconvenience. An accident-prone junction near our society still has no traffic signal.,Safety,MEDIUM
The scholarship funds promised to students have not been disbursed. There has been a partial collapse and people could be seriously hurt.,Education,CRITICAL
This has become a moderate concern causing ongoing inconvenience. Our request for a new public notice board has not been addressed.,Other,MEDIUM
The public toilet construction has been abandoned midway for months. People are in immediate danger and this cannot wait even a day.,Infrastructure,CRITICAL
There is a huge hole in the footpath that pedestrians keep tripping over. This is barely noticeable but thought it was worth mentioning.,Infrastructure,LOW
"This is just a small suggestion for improvement, not urgent. Our request for a new public notice board has not been addressed.",Other,LOW
"This needs to be resolved within the next day or two, it's serious. A minor fire in the electrical box was reported near the market.",Safety,HIGH
"This is urgent and quite severe, please act as soon as possible. There has been an increase in chain snatching incidents on this road.",Safety,HIGH
Dust from the cement factory is settling on our rooftops and plants. This has become a serious and hazardous situation for residents.,Environment,HIGH
"The school library has been locked and unused since last year. This is just a small suggestion for improvement, not urgent.",Education,LOW
Someone could die if this is not fixed within hours. The railway station platform lacks proper lighting at night.,Public Transport,CRITICAL
"The newly laid road already has cracks and uneven patches. This is urgent and quite severe, please act as soon as possible.",Infrastructure,HIGH
Untreated waste from the market is polluting the groundwater. This isn't an emergency but it really should be looked into this week.,Environment,MEDIUM
"This is just a small suggestion for improvement, not urgent. Household waste is being dumped in the empty plot next to our homes.",Environment,LOW
"Loud noise from the nearby factory continues late into the night. Not a big deal, just a minor thing that could be improved.",Environment,LOW
"There is a strong foul smell coming from the open drain near the market. There's no rush on this, just flagging it for whenever possible.",Environment,LOW
"This can wait, it's a very small and low-impact issue. Traffic congestion at this junction causes hour-long delays daily.",Public Transport,LOW
"Whenever someone has time, this would be a nice small fix. Someone is illegally burning plastic waste behind the community hall.",Environment,LOW
This is a cosmetic issue that can be fixed whenever convenient. A water pipeline burst yesterday and flooded the entire street.,Infrastructure,LOW
There has been a partial collapse and people could be seriously hurt. Police have not responded despite multiple complaints about harassment.,Safety,CRITICAL
This issue needs attention soon as it is affecting daily life. The old building next to us shows signs of imminent structural collapse.,Safety,MEDIUM
"There has been a series of thefts in our neighborhood over the last month. Not a big deal, just a minor thing that could be improved.",Safety,LOW
There is a huge hole in the footpath that pedestrians keep tripping over. This is a fair concern that's been bothering the whole neighborhood.,Infrastructure,MEDIUM
This is putting people at real risk if ignored much longer. The riverside area is filled with plastic bags and bottles.,Environment,HIGH
This is a high priority matter that cannot be delayed much longer. Our area has no functioning health center within several kilometers.,Health,HIGH
There has been a partial collapse and people could be seriously hurt. The local government hospital has been out of basic medicines for weeks.,Health,CRITICAL
There was an attempted robbery at the local shop last night. This has become a moderate concern causing ongoing inconvenience.,Safety,MEDIUM
The old building next to us shows signs of imminent structural collapse. This has escalated quickly and is now a major safety concern.,Safety,HIGH
This has become a serious and hazardous situation for residents. The drainage system is completely blocked and water is overflowing onto the road.,Infrastructure,HIGH
"Untreated waste from the market is polluting the groundwater. This is just a small suggestion for improvement, not urgent.",Environment,LOW
"Power has been out in our entire block since last night. This is just a small suggestion for improvement, not urgent.",Infrastructure,LOW
"There's no rush on this, just flagging it for whenever possible. The community health center's vaccine stock has run out.",Health,LOW
"Not a big deal, just a minor thing that could be improved. Auto and taxi drivers are refusing to use the meter and overcharging.",Public Transport,LOW
"This needs to be resolved within the next day or two, it's serious. There is confusion regarding the local office's working hours.",Other,HIGH
"Our college corridor lights don't work making evening classes difficult. This is just a small suggestion for improvement, not urgent.",Education,LOW
There is a dispute between neighbors over a shared boundary wall. This is a life-threatening emergency and needs an immediate response.,Other,CRITICAL
This is putting people at real risk if ignored much longer. Auto and taxi drivers are refusing to use the meter and overcharging.,Public Transport,HIGH
"This is urgent and quite severe, please act as soon as possible. The under-construction building next door has unsafe scaffolding hanging over the footpath.",Infrastructure,HIGH
The scholarship funds promised to students have not been disbursed. This is a fair concern that's been bothering the whole neighborhood.,Education,MEDIUM
Several people have already been affected and it keeps getting worse. A water pipeline burst yesterday and flooded the entire street.,Infrastructure,HIGH
This has been a recurring inconvenience for the whole area. College fee receipts are not being issued despite full payment.,Education,MEDIUM
There is confusion regarding the local office's working hours. This is a genuine problem that residents are worried about.,Other,MEDIUM
An explosion or collapse could happen at any moment here. The local train has been delayed by over an hour every day this month.,Public Transport,CRITICAL
Sanitation at the government hospital ward is extremely poor. This is a noticeable problem affecting quite a few households.,Health,MEDIUM
Mosquito breeding near the clinic is being ignored despite complaints. This is a cosmetic issue that can be fixed whenever convenient.,Health,LOW
"Whenever someone has time, this would be a nice small fix. The local government hospital has been out of basic medicines for weeks.",Health,LOW
Someone could die if this is not fixed within hours. The primary school has no boundary wall making it unsafe for children.,Education,CRITICAL
This is barely noticeable but thought it was worth mentioning. The bus stand shelter has collapsed and was never repaired.,Public Transport,LOW
"There is confusion regarding the local office's working hours. Not a big deal, just a minor thing that could be improved.",Other,LOW
"This is just a small suggestion for improvement, not urgent. There has been an increase in chain snatching incidents on this road.",Safety,LOW
"The hospital staff refused treatment without an advance payment. This is a small inconvenience, nothing serious at all.",Health,LOW
Our college corridor lights don't work making evening classes difficult. This is a life-threatening emergency and needs an immediate response.,Education,CRITICAL
"The health camp promised for our village never took place. This is just a small suggestion for improvement, not urgent.",Health,LOW
This is a do-or-die situation that needs action within the hour. The lake near our society is filled with plastic and industrial waste.,Environment,CRITICAL
This has been annoying residents for a couple of weeks now. The hospital staff refused treatment without an advance payment.,Health,MEDIUM
The community hall booking process is unclear and inconsistent. This is a low priority request whenever the concerned team is free.,Other,LOW
It would help a lot if this could be sorted out in the coming days. Exam results have been delayed for over a month with no explanation.,Education,MEDIUM
This has become a serious and hazardous situation for residents. Sewage water is flowing into the small pond used by local birds.,Environment,HIGH
This is a high priority matter that cannot be delayed much longer. The new school building construction has been stalled for a year.,Education,HIGH
Traffic congestion at this junction causes hour-long delays daily. This is a fair concern that's been bothering the whole neighborhood.,Public Transport,MEDIUM
This is not extremely urgent but is clearly a real problem now. The lake near our society is filled with plastic and industrial waste.,Environment,MEDIUM
"This requires urgent emergency action right now, lives are at risk. Commuters are packed beyond capacity in the morning buses.",Public Transport,CRITICAL
The ambulance service in our area does not respond to calls. This is a do-or-die situation that needs action within the hour.,Health,CRITICAL
Our government school has not had a mathematics teacher for two months. People are in immediate danger and this cannot wait even a day.,Education,CRITICAL
"The under-construction building next door has unsafe scaffolding hanging over the footpath. Whenever someone has time, this would be a nice small fix.",Infrastructure,LOW
"The newly laid road already has cracks and uneven patches. Whenever someone has time, this would be a nice small fix.",Infrastructure,LOW
This is putting people at real risk if ignored much longer. The railway station platform lacks proper lighting at night.,Public Transport,HIGH
"Whenever someone has time, this would be a nice small fix. Exam results have been delayed for over a month with no explanation.",Education,LOW
This is a genuine problem that residents are worried about. There is no clean drinking water available in the health center.,Health,MEDIUM
Commuters are packed beyond capacity in the morning buses. This is a low priority request whenever the concerned team is free.,Public Transport,LOW
"There is a strong foul smell coming from the open drain near the market. This is urgent and quite severe, please act as soon as possible.",Environment,HIGH
This is a noticeable problem affecting quite a few households. The new metro line construction has blocked the main commute route.,Public Transport,MEDIUM
"This is an absolute emergency, please send help immediately. Stray incidents of eve-teasing near the college gate go unreported.",Safety,CRITICAL
This isn't an emergency but it really should be looked into this week. Local shopkeepers report frequent extortion threats from unknown people.,Safety,MEDIUM
This is a severe issue causing real danger to people nearby. Mosquito breeding near the clinic is being ignored despite complaints.,Health,HIGH
"This is just a small suggestion for improvement, not urgent. Electric wires are hanging dangerously low near the school gate.",Infrastructure,LOW
This is a critical problem that has been getting worse and worse. The school computer lab equipment is outdated and mostly non-functional.,Education,HIGH
Police have not responded despite multiple complaints about harassment. This has become a serious and hazardous situation for residents.,Safety,HIGH
Someone could die if this is not fixed within hours. A nearby factory is dumping waste directly into the river.,Environment,CRITICAL
Vehicles violate traffic signals constantly at this intersection. It would help a lot if this could be sorted out in the coming days.,Public Transport,MEDIUM
"This is just a small suggestion for improvement, not urgent. I want to raise a general suggestion about our community center timings.",Other,LOW
Air quality in our area has become very poor due to nearby construction dust. This has become a serious and hazardous situation for residents.,Environment,HIGH
"Patients are made to wait for hours without any medical attention. This needs to be resolved within the next day or two, it's serious.",Health,HIGH
Sanitation at the government hospital ward is extremely poor. This is a minor issue but a small fix would be appreciated.,Health,LOW
It would help a lot if this could be sorted out in the coming days. There has been a series of thefts in our neighborhood over the last month.,Safety,MEDIUM
This is not extremely urgent but is clearly a real problem now. The primary school has no boundary wall making it unsafe for children.,Education,MEDIUM
This is a fair concern that's been bothering the whole neighborhood. Power has been out in our entire block since last night.,Infrastructure,MEDIUM
This has been ongoing for days and is becoming genuinely serious. There is a dispute between neighbors over a shared boundary wall.,Other,HIGH
"Smoke from open garbage burning is affecting people's breathing nearby. Whenever someone has time, this would be a nice small fix.",Environment,LOW
An explosion or collapse could happen at any moment here. There is a minor disagreement about parking space allocation.,Other,CRITICAL
Traffic congestion at this junction causes hour-long delays daily. There has been a partial collapse and people could be seriously hurt.,Public Transport,CRITICAL
We would like better public seating in the community park. This has been ongoing for days and is becoming genuinely serious.,Other,HIGH
We would like better public seating in the community park. This is a noticeable problem affecting quite a few households.,Other,MEDIUM
"This can wait, it's a very small and low-impact issue. Buses on this route have been irregular for the past two weeks.",Public Transport,LOW
Sanitation at the government hospital ward is extremely poor. This is putting people at real risk if ignored much longer.,Health,HIGH
A gas leak was reported near the residential block causing panic. This isn't an emergency but it really should be looked into this week.,Safety,MEDIUM
